observer_id,observer,site_id,site,sampling_period,date,start_time,point,minute,species_code,species,distance,how,visual,sex,migrating,cluster_size,cluster_code,notes
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,DICK,Dickcissel,30.0,Visual,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,AMCR,American Crow,700.0,Calling,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,BHCO,Brown-headed Cowbird,175.0,Visual,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,AMRO,American Robin,90.0,Singing,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,AMRO,American Robin,250.0,Calling,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,DICK,Dickcissel,150.0,Singing,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,DICK,Dickcissel,100.0,Singing,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,DICK,Dickcissel,100.0,Singing,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,1.0,RNEP,Ring-necked Pheasant,250.0,Calling,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,2.0,RNEP,Ring-necked Pheasant,300.0,Calling,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,2.0,RNEP,Ring-necked Pheasant,400.0,Calling,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,2.0,EAME,Eastern Meadowlark,225.0,Singing,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,3.0,DICK,Dickcissel,200.0,Visual,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,3.0,DICK,Dickcissel,300.0,Visual,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,3.0,BHCO,Brown-headed Cowbird,175.0,Visual,True,Male,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,3.0,BHCO,Brown-headed Cowbird,175.0,Visual,True,Male,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,3.0,VESP,Vesper Sparrow,300.0,Calling,False,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,3.0,DICK,Dickcissel,225.0,Visual,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,3.0,DICK,Dickcissel,225.0,Visual,True,Unknown,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,4.0,RWBL,Red-winged Blackbird,200.0,Visual,True,Male,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,4.0,RWBL,Red-winged Blackbird,150.0,Visual,True,Female,False,1.0,,
CKD,Colin Dobson,JW,J&W Ranch,Summer 2020,2020-05-27,21960.0,1.0,4.0,EAME,Eastern Meadowlark,150.0,Singing,False,Unknown,False,1.0,,
